ProspectID,LeadNumber,LeadOrigin,LeadSource,LeadScore,EngagementScore,TotalVisits,AverageTimePerVisit
3f04fd93-2884-45f6-a4fc-f3b6f234554b,660153,API,Olark Chat,0,0,0,0
86681269-67b1-4909-90c0-216136535815,660149,API,Google,110,0,6,78.4
319325b3-50b3-45d0-b730-c9df0b30b9ea,660128,API,Olark Chat,0,0,0,0
2def8175-7a88-405a-a932-669cacf60230,660087,API,Olark Chat,10,10,0,0
1f13cede-ebf7-4e65-84ee-7d76e86a9094,660070,Landing Page Submission,Google,95,0,5,116.25
8597dacd-0b33-4b4f-ad9e-a9df020afd48,660069,Landing Page Submission,Organic Search,150,0,6,64
833153b1-e44b-4260-a4cc-5ef310cc548c,660050,API,Google,100,0,6,456
b9984279-2d76-41e0-a5f3-e14d6ff68f20,660048,API,Organic Search,150,0,7,296.25
165a8ed0-7155-4b32-bb21-b356c51e0412,660030,API,Organic Search,60,0,2,187.5
59e722da-edff-43d9-af61-f5c8bcc986c4,659998,Landing Page Submission,Referral Sites,200,110,13,103.75
171defdc-6c7b-4486-9a3b-527de447d2d5,659963,API,Referral Sites,130,80,8,114.71
d93bfdc0-4719-4f0a-ad6b-31070823dfbb,659942,Landing Page Submission,Organic Search,230,0,17,219.13
d22bfe40-a444-4e97-b6b7-ccf40117710b,659937,Landing Page Submission,Referral Sites,170,0,11,52.33
b90b70b9-5e60-41a5-87da-5eb753fc3391,659931,API,Google,85,0,4,164.33
aa613715-ff22-429d-9fbb-92da56b827aa,659925,API,Olark Chat,50,0,0,0
0327a12a-51cb-4782-a029-cc824e614833,659918,API,Organic Search,120,70,7,245.8
dba70a60-f322-4372-b7d5-3d24026a4750,659896,API,Olark Chat,85,0,0,0
3ee81e25-e280-428d-94a8-af0178917bf5,659889,Landing Page Submission,Direct Traffic,110,40,4,199.33
a66b2a39-2f12-4eb4-b6e3-065d88ccf980,659875,Landing Page Submission,Google,70,0,1,0
ee859f2e-a35f-4d2e-980e-8163da8ca667,659853,API,Google,90,30,3,167
34571884-9e2f-404c-bc30-d5e09309b06a,659849,API,Olark Chat,20,20,0,0
002233e4-c3d5-4a78-b64e-fa9b7fdef393,659833,API,Olark Chat,67,0,0,0
991c2560-128d-4222-a4c6-5aa393c4fafa,659830,API,Olark Chat,0,0,0,0
671f2615-8210-4792-abdd-a1588060cd27,659819,Landing Page Submission,Direct Traffic,70,0,1,0
ac430bc0-d235-4f54-9c2b-3d1b7e52849e,659820,Landing Page Submission,Direct Traffic,110,0,4,186.33
fe6dff62-8217-428b-876a-ec931f251f63,659806,Landing Page Submission,Referral Sites,70,0,3,70
f8497fef-9593-4bb7-898c-9f736a3b67f8,659784,API,Organic Search,110,0,6,259.8
2cd9ea36-23d7-49c3-b255-a9361a4fa81b,659782,Landing Page Submission,Direct Traffic,260,0,5,288
0a943ad9-f3d5-46d7-aca0-3fdab53da0e7,659779,Landing Page Submission,Direct Traffic,110,0,2,8
a739f33a-7d4d-4c4e-9c9c-3c30e1f48940,659727,Landing Page Submission,Google,210,100,6,227.75
895d4905-f534-4f18-915b-8d239a72b5dc,659722,Lead Add Form,Welingak Website,0,0,,
1f9032cd-77f4-453c-b84b-edd1aea26b70,659720,API,Referral Sites,100,0,4,158.67
3a0ce10f-d2c1-4213-a2bc-4f97bcd29699,659710,Lead Add Form,Reference,0,0,0,0
d4d4ee0a-fea2-4680-b2ea-b24de9fcf0be,659708,API,Google,70,0,2,140
277ad6a6-4565-4a18-a1ff-e46e03f22663,659705,Lead Add Form,Welingak Website,0,0,0,0
a9b219c8-a9c2-4d13-9a4d-46cfe4f70eeb,659704,API,Olark Chat,195,70,0,0
09526992-b1fb-4763-8cca-355bc5dac5e3,659700,API,Olark Chat,0,0,0,0
ecbf9b02-90a1-4b16-b330-6d958dcfcdb2,659696,Landing Page Submission,Google,80,20,3,62.5
0ab2ba94-a0f8-4f6b-adb9-6dd94d301b6e,659685,API,Referral Sites,90,0,3,185
523131a0-5e9d-4f8e-9ca7-ea9e964e5788,659676,API,Referral Sites,90,0,4,104.33
0fc49a08-63d2-4fef-98c1-244bfd6d12a9,659644,Landing Page Submission,Direct Traffic,120,0,6,89.5
68f496c2-0073-470f-9c3c-7fb48f060ce5,659631,Lead Add Form,Reference,0,0,0,0
db6bd360-ffc9-453d-b109-b4f0cfa6749c,659630,Landing Page Submission,Organic Search,80,0,2,219
3f42389c-2201-4890-ae77-4958ae8982ad,659614,API,Organic Search,80,0,3,168
e126d601-facc-4e75-b0fa-eea89ecfdea9,659607,API,Olark Chat,182,130,6,144
72064169-4b55-4279-a9b9-340872379f12,659600,Landing Page Submission,Google,90,0,4,61
40e72a2f-b7bb-4a10-9c2c-45d9bedb0dde,659582,Landing Page Submission,Google,170,0,9,148.71
076801dc-eba3-4c64-b165-dda70397aa19,659567,Landing Page Submission,Direct Traffic,90,0,3,300.5
62b4ee1c-1071-42bb-b50d-16412c2acce2,659562,Landing Page Submission,Direct Traffic,140,0,4,385.33
7f0c404f-3b2d-4d0e-b5e6-cc5bb0bab65d,659555,Landing Page Submission,Google,65,0,2,3
477c8243-bd09-48f5-a170-a5aa9001ab12,659545,API,Olark Chat,0,0,0,0
bc35eede-4208-461c-827e-11108a378df7,659523,API,Google,90,40,5,144.75
35d515d8-e851-4629-803e-492c6b576bd6,659507,Landing Page Submission,Direct Traffic,120,50,5,198.25
a3f6393c-fcdf-4cb4-8d29-6da3d62ae88f,659492,API,Referral Sites,120,0,7,174.2
5838c43b-1dad-45ec-b46a-02db261d44b6,659480,API,Olark Chat,20,20,0,0
d103d8be-52e8-41aa-850a-6651f10641c6,659474,Landing Page Submission,Google,285,0,12,337.33
95f1c454-9f9a-40ef-b521-6fc791f103fb,659469,Landing Page Submission,Direct Traffic,80,0,2,7
e8950460-899c-434f-9a69-3b01e3e4b94c,659463,API,Google,100,50,5,316.25
cf98ed96-ea4f-49cd-985e-028b7916a564,659447,Landing Page Submission,Organic Search,120,0,6,39.4
1c4f389a-53d9-4c8a-b4f7-7954b4053ebd,659438,API,Google,140,0,9,116.83
1cf3a8ad-24b9-4420-a87e-8fd1640174b6,659437,API,Google,70,20,3,822
d5aa5934-4930-464e-8c9d-f7b2ea2cd3a3,659411,Landing Page Submission,Google,105,0,6,87.5
1b4da2e7-9a43-4f75-b5ad-ff0ec1edbf17,659407,API,Organic Search,80,0,3,253
2b742281-ef6f-49ad-8a44-b3a21c60b945,659395,Landing Page Submission,Organic Search,180,110,6,210.6
67bc9f1f-53c0-49be-96f9-1d549f0a8717,659371,Landing Page Submission,Google,175,110,4,49.67
46c2bad4-ea26-4507-9378-c488e0c1dd11,659369,Lead Add Form,Reference,85,0,0,0
25b8e642-c1f1-4e49-8557-71d2c78adada,659366,API,Direct Traffic,100,0,5,120.25
1de92462-5b3f-401e-b84f-935bb92898f9,659364,API,Google,110,60,5,372.25
cb28ce2a-61b5-4a41-aa99-b593c7d2ed81,659357,Landing Page Submission,Google,120,0,8,65.67
bb74420f-81a3-40de-8d5c-fa5899b7daba,659345,API,Organic Search,100,0,4,494
eecf3981-028f-4a83-9801-afa36545a53c,659334,API,Google,80,0,2,605
cad6cccb-88a4-49bf-b4a0-9ec37e8a176c,659293,API,Referral Sites,210,0,10,137.63
5f3d729d-de5a-4056-843e-42d23c973b65,659287,API,Organic Search,80,0,3,120.5
144807db-2895-4002-b52e-3eda79c22395,659283,Lead Add Form,Reference,0,0,,0
1eb0358a-62e8-4fcb-bd7a-1d8189ebfa21,659281,Landing Page Submission,Google,165,0,8,198.67
d78841e2-ac17-4986-aaab-ad2796c2a4e6,659263,API,Organic Search,70,20,3,168
1b1e6ec3-1f21-41e0-a3e9-3ee3aa2b6415,659248,API,Google,70,0,2,0
80182a5a-1a04-49db-acc7-0a3bbea6b88b,659244,Landing Page Submission,Google,100,0,4,192.33
46921843-bfc8-443d-96f8-18495891aef6,659241,API,Referral Sites,200,0,16,220.87
b2c0f21b-97b3-4d4e-ad9c-9af95f2654f3,659238,Landing Page Submission,Direct Traffic,70,0,1,0
c311a2fd-e180-411d-8eb6-b80f6a8c7c05,659221,Landing Page Submission,Organic Search,100,0,5,54
be27249b-9677-4397-8158-f795d95fbfd8,659217,Landing Page Submission,Google,75,0,4,65.33
2b25a3e9-72a7-43e5-8c54-7e8405cc0ed3,659203,API,Google,60,10,2,0
68171565-0979-44e9-ac27-992bcca38aa8,659191,Lead Add Form,Reference,10,0,0,0
adc01aa8-ee1b-4fc2-9cc7-bf29117241b0,659182,API,Google,60,0,1,0
01502bf8-d062-4a90-9119-15597dc4a950,659170,API,Google,60,0,2,648.5
63ebde80-a465-4cdc-ab5a-5e880a7138b0,659158,Lead Add Form,Reference,0,0,0,0
0298b9a5-fedb-408b-a284-2d357583600f,659153,Lead Add Form,Welingak Website,0,0,0,0
73413bd6-e089-4b8f-9359-ad5825101790,659146,Landing Page Submission,Google,155,40,5,55.4
42976847-bdd7-4472-8c0a-5d4489fd20fb,659142,Landing Page Submission,Direct Traffic,90,0,4,47.33
d76f5ba7-b432-43b5-8dda-aad9fded162e,659141,Lead Add Form,Reference,20,0,0,0
cd4c2dd2-0bf1-475a-a0ed-09ffd030dcb7,659138,API,Google,40,0,1,262
8bfdab74-6fe6-4288-8baa-a4223216ec5b,659132,Landing Page Submission,Referral Sites,130,0,7,44.2
6998487c-062f-4844-967b-4a632b6878d3,659123,Landing Page Submission,Google,110,0,5,89.75
a56dc332-499f-4145-ae65-79d9ca8a5fd9,659117,API,Referral Sites,110,0,6,586
4cc6f35b-bba3-4e7a-90fa-a2a1764a10bb,659106,Landing Page Submission,Google,135,70,5,240.6
2b5fb07b-5930-4e1f-a1f6-21f8a333ee2c,659094,Landing Page Submission,google,170,0,7,2
2bfbd79b-c942-4c0f-bed9-704ccf4f4c8e,659079,API,Google,70,0,2,308.5
81d95e57-ace1-4cd5-be03-282bc72ffd1e,659076,API,Google,70,0,2,281
d23140e8-765b-4a84-9719-35574580cd57,659074,Landing Page Submission,Direct Traffic,90,0,3,59
b12f165c-f720-46d7-afbc-5ac794cec646,659069,Landing Page Submission,Google,120,0,5,9.5
08424302-ffe0-4c2d-be4f-d099f75a3eb5,659057,Landing Page Submission,Google,105,0,5,88
1c104d9a-49f9-4daf-a133-15c73efedbd3,659050,Landing Page Submission,Direct Traffic,80,0,2,2
2e314eed-ab56-4594-b12f-2402b355eca6,659038,Landing Page Submission,Organic Search,110,40,5,27.5
cf302bc1-ca65-40d3-a354-a7166f68e6e9,659036,Landing Page Submission,Direct Traffic,70,0,1,0
e210e543-584e-42a1-a5ed-7011ced14ef8,659016,Landing Page Submission,Direct Traffic,70,0,2,0
95ba6ee3-ebfa-4e88-be00-059e87ec079b,659013,Landing Page Submission,Direct Traffic,155,0,3,80.5
1450cd7f-806e-4bad-be80-652a6022218b,658983,Landing Page Submission,Organic Search,245,150,8,51
90e1a6ea-7c76-436c-8a0a-01c632c99343,658976,Landing Page Submission,Google,70,0,2,2
48834d26-b7d1-46c6-be16-a27e14f9ff33,658932,API,Referral Sites,115,0,4,95
068d0803-43ba-45bb-9d32-21d8ec3bebba,658917,Landing Page Submission,Direct Traffic,140,0,4,127.5
5c9a62e5-9d75-4088-ac5a-a5f5e0a1a35d,658888,Landing Page Submission,Direct Traffic,100,0,2,3
a1ab0aaa-505e-48dc-9be1-5df466c3f14a,658856,API,Organic Search,140,0,7,150
2d09fce2-eab7-4d6a-b668-eb739cfc5d2d,658852,Landing Page Submission,Direct Traffic,335,140,3,138.5
0921ad51-b2bc-4abb-bb66-e9357b16c306,658831,API,Olark Chat,130,80,10,82.29
1a95a0ed-5b9b-46d4-8b2c-aff31756523c,658828,Landing Page Submission,Direct Traffic,115,0,2,33
6402d606-839e-4fbd-b1c1-b50a433814c1,658826,Landing Page Submission,Direct Traffic,110,40,3,9
a732de28-542e-48c4-abe1-af4067853627,658793,Landing Page Submission,Google,245,80,6,150.2
34f5a0cf-b70f-460e-a4ac-26e892d39666,658779,API,Organic Search,185,0,10,108.38
2d366179-1380-4078-a855-74faf409cfc4,658773,API,Organic Search,60,0,1,0
516cef54-19f1-4f7a-93ae-bc739f870903,658766,API,Google,90,0,2,95
ba13e654-406e-4d3f-9fc1-0803087a41eb,658756,Landing Page Submission,Referral Sites,205,0,12,178.27
31479eef-bdb8-45d9-a394-8134ed57256b,658744,Landing Page Submission,Direct Traffic,90,0,3,18
e70118b9-8fc8-4810-b665-3551a60813ef,658714,API,Referral Sites,70,0,2,48
ced562dd-a390-4369-b233-04313cc5fa90,658689,Landing Page Submission,Google,95,0,5,97.25
22296e35-116d-435d-b323-580f066c1d8c,658686,API,Organic Search,130,0,7,44.83
0371849d-b964-4473-b41c-a1a3f56ad1b5,658677,API,Google,115,0,7,150.33
70c71ff4-5848-46da-b501-2e9867c46c06,658675,Lead Add Form,Reference,10,10,0,0
608e26ab-09fb-4fcb-a394-570dbed2504d,658656,API,Google,50,0,1,0
69b83452-22e4-40e1-83f5-a988b69c7f87,658652,Landing Page Submission,Direct Traffic,105,0,2,15
3b74e995-4407-44de-9e59-622afb514261,658648,Lead Add Form,Welingak Website,0,0,0,0
cd0a852b-0732-44c7-a469-a401b8c66403,658634,Lead Add Form,Reference,55,30,0,0
1730b5e8-e435-41c6-9082-b9c98976bd16,658627,Lead Add Form,Welingak Website,0,0,0,0
db2dc4b5-f603-4818-9b0c-0435923a4cd8,658623,Lead Add Form,Welingak Website,0,0,0,0
07efd6f7-1e73-4f1f-80a3-56a32adf581a,658620,API,Olark Chat,20,0,0,0
c5cac611-2349-4eb3-bf93-924225b8fa88,658618,API,Referral Sites,80,0,4,171.33
89f3bcca-38ab-4ba9-bd37-0c302be3f164,658612,API,Google,60,0,1,0
116549d5-2b2b-441f-9528-5662e2b1e7d8,658606,API,Google,70,0,2,119
0f0e596b-c91f-449c-8923-bbf51f896687,658597,API,Organic Search,90,0,5,62.75
850fe660-b18e-4ea0-80bf-54f16ffe018a,658571,API,Organic Search,285,110,8,113.8
80da9389-fc0b-45f7-87eb-96cbbf5eef22,658561,Lead Add Form,Reference,10,0,0,0
d7e939fb-2e60-4293-a0c8-d0202db10096,658546,Landing Page Submission,Organic Search,265,170,12,148
97874d2b-8b23-4b0d-9bb8-0a0494792743,658531,API,Organic Search,110,60,6,161.2
cfac8c8e-1867-43bb-8e1b-ea3bf0965a78,658527,API,Olark Chat,0,0,0,0
6e8bdab7-5f9d-4c68-bea2-5f49795487bc,658481,API,Google,170,0,12,73.5
64b11308-6011-4140-992f-73ad457e529e,658470,API,Olark Chat,0,0,0,0
b7c0a6d5-a592-4ea1-b273-8d35b1810dc8,658458,Landing Page Submission,Google,120,0,3,157.67
80448da8-326b-49c7-a617-0bbcde5807fe,658448,Landing Page Submission,Google,85,0,5,99.75
d60b3133-9845-4d68-8675-6666c7dc57c9,658432,Lead Add Form,Reference,15,0,0,0
371264b3-10ad-4959-a767-30b8b1cd57a8,658430,API,Organic Search,90,0,4,120.33
7fc3270e-5e92-441a-b792-cc6d75981b19,658421,API,Google,80,0,2,256
8286ada8-b243-4807-b561-b1e231a264ff,658407,API,Olark Chat,0,0,0,0
5091d8d0-fdc5-4726-aabf-40374cf4da4e,658405,API,Olark Chat,0,0,0,0
a996259c-fab6-4fb6-bf41-7c68fbb22114,658398,API,Organic Search,100,50,5,147
c693a352-3702-4165-a1f9-fa96a34c9bf3,658353,API,Organic Search,120,0,8,184.86
8e7a4195-873f-41fd-9a39-f7c0f167f2f9,658323,API,Olark Chat,-10,0,0,0
7dae25b8-239c-49e5-a7d1-d5822325c795,658322,API,Referral Sites,90,0,4,446.67
6bce3c47-8c97-44b8-90d6-f952358e441f,658321,API,Referral Sites,70,20,3,193.5
487eb109-5611-48e2-8225-470e6dd51866,658309,Lead Add Form,Reference,10,10,0,0
e870b3a1-4c5c-492f-8f86-f7be1077040c,658299,API,Referral Sites,70,0,2,526
fad4be87-d418-4746-b951-cd405a98b631,658288,API,Organic Search,100,0,5,106.75
c95394c1-e004-4a89-91f7-c5475a21d0f9,658281,Landing Page Submission,Direct Traffic,177,0,3,36.5
5266bf8f-ee44-4847-a8cc-19d49e30dfa9,658278,API,Direct Traffic,60,0,2,1103
c800a9c6-9f91-42f4-88e7-c4f9023d6f88,658277,Landing Page Submission,Direct Traffic,70,0,1,0
f942f0fe-55e2-4e23-bae8-346c55278fb0,658264,Landing Page Submission,Direct Traffic,160,90,9,127.5
b6a07644-72d3-40b7-9c75-f996c6ee96a0,658258,Lead Add Form,Reference,0,0,0,0
e12e2510-7203-411d-b3c5-9f5aaf9ffd73,658243,Lead Add Form,Reference,10,10,0,0
226edbbb-fd4d-4522-a59a-dc53bf6318bf,658234,Landing Page Submission,Google,90,0,5,33.33
82b11e37-cba7-4757-bd73-0cfa33665dba,658231,Landing Page Submission,Direct Traffic,110,30,2,2
603532ad-117d-436a-82c3-cca41f4c8470,658222,Landing Page Submission,Direct Traffic,130,0,2,10
ea973fef-e4bc-4286-ac5c-84de3a780850,658220,API,Organic Search,80,0,4,291.67
15594d8b-eee1-4d03-a6bc-05454972c1b6,658206,Landing Page Submission,Direct Traffic,150,0,4,103.75
9fb9f131-2b4d-42c2-83b7-0575da86974b,658203,API,Organic Search,80,30,3,163
0ad6eef7-7935-499d-903b-bf17566b241e,658193,Lead Add Form,Reference,30,0,0,0
0e3d5534-5cee-4977-a3ec-871a1077bdba,658188,Landing Page Submission,Google,70,0,1,0
0a3ed7ff-5eb6-4985-a3c1-510f9d3b01a9,658178,API,Organic Search,60,0,1,0
038dc19c-b7ea-4cc3-a95b-9a13e477c4b1,658142,Landing Page Submission,Direct Traffic,280,210,9,82
8d88f11e-eed4-4e76-87ed-3319a9801430,658107,API,Olark Chat,10,0,0,0
a18c6be1-8a7b-4ed1-b1c2-bdd2de83bcc5,658089,Landing Page Submission,Direct Traffic,60,0,1,0
fc7db92d-18c8-4218-8f99-20d4758602cf,658081,API,Direct Traffic,110,0,7,183.6
cd6bf86f-0fb0-486c-8e82-dcc3c1e2c431,658071,Landing Page Submission,Google,80,0,2,167
80ffbb0e-a3e7-4afe-905d-0172fdd48a15,658070,Landing Page Submission,Direct Traffic,130,0,7,78.5
2c165c73-6832-4e15-ada3-e91b1c44b9bd,658063,API,Organic Search,215,0,13,222.82
1a3dfc00-2e7c-4747-9d79-62e2761880a2,658048,Landing Page Submission,Direct Traffic,245,0,3,118.5
c6afd99a-116a-403c-8f23-7022e2836891,658029,Landing Page Submission,Direct Traffic,90,0,3,102
83de7a6e-7679-4060-8989-bb49b39f9328,658023,API,Olark Chat,85,0,3,109
683f89b7-cf5c-48e5-8761-d64d103ca63a,658017,Landing Page Submission,Organic Search,190,0,6,145.8
127541b0-6d5b-4549-a6af-3502f227a815,658011,Landing Page Submission,Direct Traffic,140,0,9,416
9a6688f4-798f-4efc-96f7-dddd677263d3,657995,Landing Page Submission,Organic Search,290,0,12,67.4
eabd8eaf-eab7-4380-86d7-9c21ae0576a2,657990,API,Olark Chat,40,0,0,0
7292063e-29d8-49e3-be44-f50008df769f,657971,Landing Page Submission,google,130,0,5,38
e0c1f7c8-b696-4d97-ae42-d3974bccdcb4,657968,Landing Page Submission,Direct Traffic,130,60,7,50.67
4416c20d-11b7-4e8c-b4c9-7b27dd0f94f1,657951,Landing Page Submission,Direct Traffic,110,0,2,5
dbf6d8a7-eab9-4f92-96d3-f5005db1fa42,657941,API,Organic Search,80,30,3,133
dd4e1ca4-c873-4a10-aa40-70382835237a,657920,API,Olark Chat,0,0,0,0
eff492d9-4b36-445a-9f55-b68fe533d3e5,657905,Landing Page Submission,Google,120,60,3,121
2de32d4e-8972-4fca-a8cc-93c1f8b30d23,657902,API,Olark Chat,80,0,7,97.25
daa67295-da02-4a6e-ad57-37533c13cecd,657899,API,Organic Search,190,0,13,256.9
e237c3e5-999f-4158-b541-cd9622d1488c,657887,API,Organic Search,110,0,5,77.25
e15342a3-ca98-4401-8a76-a7ff920546c7,657882,API,Referral Sites,190,0,14,128.85
d22d10d8-5ce1-4014-8d29-08fec7c8658e,657879,API,Google,80,0,3,53.5
47549ac1-31bc-4270-ac78-9869534aef6a,657828,API,Olark Chat,0,0,0,0
41bed798-480f-4714-822b-5d5d6a93ea6e,657823,API,Direct Traffic,145,70,5,147.33
35794cc5-0e3d-4fd9-85c9-2a863007e898,657821,Landing Page Submission,Google,60,0,1,0
355ab34b-e625-48f2-b8bd-f58368552dd8,657803,Landing Page Submission,Google,100,0,6,123.4
cc487e97-dc1e-426a-99bf-bf751a7dd740,657777,Landing Page Submission,Direct Traffic,70,0,1,0
c79ff501-0004-4dfb-aa66-d32835891dca,657754,Landing Page Submission,Google,85,0,4,70.33
b032c3eb-5aaa-461a-91b8-c4262b51742c,657741,API,Organic Search,60,10,2,0
0e03892b-a2de-4246-8f74-c1ce2796dc59,657731,Landing Page Submission,Direct Traffic,70,0,1,0
4e2d0826-0b52-4ef5-ad75-8af799a3ecb2,657717,API,Olark Chat,0,0,0,0
88aec271-f2ea-4359-a2bd-c43ab380467b,657703,API,Google,90,0,3,238
d608267d-2bbf-4d78-b6c1-a563bbe38c83,657697,Landing Page Submission,Google,95,0,2,224
f3eceef5-79a4-4d4b-8e5c-0562fb19a553,657691,API,Referral Sites,80,0,3,273.5
76d339a7-7aad-43f5-b6f0-f2ab8b13a945,657686,Lead Add Form,Welingak Website,35,0,0,0
be383482-dc8e-4cee-b9ab-4d0949d0fd07,657676,API,Organic Search,210,0,9,213.33
d82de405-5782-48d2-9f13-4e829543b17f,657660,Lead Add Form,Welingak Website,20,20,0,0
2872b4e9-7801-4333-9eff-9b2d4772ad1e,657655,API,Olark Chat,0,0,0,0
0dcca9d7-5c32-442c-b115-d13465015b6d,657644,API,Referral Sites,150,100,11,118.8
bed5e1ad-5569-44b8-9b3a-7d568417d435,657643,API,Olark Chat,0,0,0,0
29d73a75-3d92-4ecc-ac96-32a3c05add24,657620,API,Direct Traffic,160,0,11,230.9
b188ce42-4d14-4a53-80fb-e554ce3959ca,657611,Lead Add Form,Reference,0,0,0,0
20418574-d6a1-405b-8afb-e6f47933e833,657609,API,Organic Search,70,20,3,0
35c83b23-921f-47da-8a95-5ebab14962ad,657590,Lead Add Form,Reference,0,0,0,0
3acc46ab-0f98-425f-9504-e6b4e2badb14,657586,Lead Add Form,Reference,10,10,0,0
014b3eac-a050-4596-b0ad-0be984086a6c,657572,Landing Page Submission,Referral Sites,180,110,6,174.75
4504d177-2d96-4583-a218-3f9307e21efa,657510,API,Google,90,0,3,476.33
a7cfe398-727f-4d16-9dda-02b3e35e8eb0,657502,Landing Page Submission,Google,100,0,5,207.67
4cecdd59-327e-4c05-a4a4-297e762f9544,657500,API,Organic Search,100,0,5,244.4
ba878da8-94f4-49bd-8aba-fd2afe1980ba,657480,API,Google,60,0,2,1139
2f4e048a-af10-42a8-a895-f3de17ecfaec,657477,Landing Page Submission,Google,95,30,4,137
